Year,Winner,Sire,Dam,2nd Pl,3rd Pl,Time
1944,Pensive,Hyperion,Penicuik,Broadcloth,Stir Up,02:04.2
1943,Count Fleet,Reigh Count,Quickly,Blue Swords,Slide Rule,02:04.0
1942,Shut Out,Equipoise,Goose Egg,Alsab,Valdina Orphan,02:04.4
1941,Whirlaway,Blenheim,Dustwhirl,Staretor,Market Wise,02:01.4
1940,Gallahadion,Sir Gallahad,Countess Time,Bimelech,Dit,02:05.0
1939,Johnstown,Jamestown,La France,Challedon,Heather Broom,02:03.4
1938,Lawrin,Insco,Margaret Lawrence,Dauber,Cant Wait,02:04.8
1937,War Admiral,Man O War,Brushup,Pompoon,Reaping Reward,02:03.2
1936,Bold Venture,St Germans,Possible,Brevity,Indian Broom,02:03.6
1935,Omaha,Gallant Fox,Flambino,Roman Soldier,Whiskolo,02:05.0
1934,Cavalcade,Lancegaye,Hastily,Discovery,Agrarian,02:04.0
1933,Brokers Tip,Black Toney,Forteresse,Head Play,Charley O,02:06.8
1932,Burgoo King,Bubbling Over,Minawand,Economic,Stepenfetchit,02:05.4
1931,Twenty Grand,St Germans,Bonus,Sweep All,Mate,02:01.8
1930,Gallant Fox,Sir Gallahad,Marguerite,Gallant Knight,Ned O,02:07.6
1929,Clyde Van Dusen,Man O War,Uncles Lassie,Naishapur,Panchio,02:10.8
1928,Reigh Count,Sunreigh,Contessina,Misstep,Toro,02:10.8
1927,Whiskery,Whisk Broom,Prudery,Osmand,Jock2,02:06.0
1926,Bubbling Over,North Star,Beaming Beauty,Bagenbaggage,Rock Man,02:03.8
1925,Flying Ebony,The Finn,Princess Mary,Captain Hal,Son Of John,02:07.6
1924,Black Gold,Black Toney,Useeit,Chilhowee,Beau Butler,02:05.2
1923,Zev,The Finn,Miss Kearney,Martingale5,Vigil,02:05.4
1922,Morvich,Runnymede,Hymir,Bet Mosie,John Finn,02:04.6
1921,Behave Yourself,Marathon,Miss Ringlets,Black Servant,Prudery,02:04.2
1920,Paul Jones,Sea King,May Florence,Upset,On Watch,02:09.0
1919,Sir Barton,Star Shoot,Lady Sterling,Billy Kelly,Under Fire,02:09.8
1918,Exterminator,Mcgee,Fair Empress,Escoba,Viva America,02:10.8
1917,Omar Khayyam,Marco,Lisma,Ticket,Midway,02:04.6
1916,George Smith,Out Of Reach,Consuelo,Star Hawk,Franklin,02:04.0
1915,Regret,Broomstick,Jersey Lightning,Pebbles6,Sharpshooter,02:05.4
1914,Old Rosebud,Uncle,Ivory Bells,Hodge,Bronzewing,02:03.4
1913,Donerail,Mcgee,Algie M,Ten Point,Gowell,02:04.8
1912,Worth,Knight Of The Thistle,Miss Hanover,Duval,Flamma2,02:09.4
1911,Meridian,Broomstick,Sue Smith,Governor Gray,Colston,02:05.0
1910,Donau,Woolsthorpe,Al Lone,Joe Morris,Fighting Bob,02:06.4
1909,Wintergreen,Dick Welles,Winter,Miami,Dr Barkley,02:08.2
1908,Stone Street,Longstreet,Stone Nellie,Sir Cleges,Dunvegan3,02:15.2
1907,Pink Star,Pink Coat,Mary Malloy,Zal,Ovelando,02:12.6
1906,Sir Huon,Falsetto,Ignite,Lady Navarre,James Reddick,02:08.8
