Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
1,0001,"Taylor Made Sales Agency, Agent LXI","","Kitten's Joy --- Dacoma","01/27/2017","B",Colt,"Kitten's Joy","Dacoma","","","","Yearling","Out",0
1,0002,"Scott Mallory, Agent IV","","Dads Shooting Star","03/20/2009","GR/RO",Mare,"Unbridled's Song","King Shooting Star","Sky Mesa","03/20/2017","pregnant","Broodmare","Alfredo Galdos",10000
1,0003,"Taylor Made Sales Agency, Agent XXX","","Dance Play","01/29/2015","CH",Mare,"Malibu Moon","All for Georgia","Declaration of War","05/21/2017","not pregnant","Broodmare","*RNA (8,000)",---
1,0004,"Hunter Valley Farm, Agent","","City Zip --- Dansette (GB)","04/30/2017","CH",Colt,"City Zip","Dansette (GB)","","","","Yearling","*RNA (27,000)",---
1,0005,"Bill Murphy, Agent VII","","Darlin'issues","05/18/2014","B",Filly,"Sky Mesa","Issues","","","","Broodmare Prospect","*RNA (120,000)",---
1,0006,"Bluewater Sales LLC, Agent XII","","Desert Duchess","05/09/2014","CH",Filly,"Hard Spun","Aventina","","","","Racing or Broodmare Prospect","S. F. Henderson",225000
1,0007,"KatieRich Farms","","Diamante","05/18/2011","CH",Mare,"Giant's Causeway","Twenty Eight Carat","Malibu Moon","05/11/2017","pregnant","Broodmare","*RNA (120,000)",---
1,0008,"Legacy Bloodstock, Agent X","","Dirty Shame","03/05/2008","CH",Mare,"Aeneas","Corazondeconsuela","Revolutionary","04/24/2017","pregnant","Broodmare","*RNA (4,000)",---
1,0009,"ELiTE","","Discovery Bay","04/25/2014","CH",Filly,"Speightstown","Harmony Lodge","","","","Racing or Broodmare Prospect","Gainesway",65000
1,0010,"Greenfield Farm (B. D. Gibbs Farm LLC), Agent IV","","Diva's Seastar","03/16/2004","B",Mare,"Broken Vow","Taj Aire","Twirling Candy","05/01/2017","pregnant","Broodmare","Randy Taylor",45000
1,0011,"Legacy Bloodstock, Agent XXIII","","Paynter --- Dixiechickadee","02/23/2017","B",Filly,"Paynter","Dixiechickadee","","","","Yearling","Out",0
1,0012,"Stuart Morris, Agent I","","Gemologist --- Dixie Dudette","02/02/2017","DB/BR",Filly,"Gemologist","Dixie Dudette","","","","Yearling","Miguel Silva",5000
1,0013,"Vinery Sales, Agent XVIII","","Downhill Joey","03/30/2009","CH",Mare,"Henny Hughes","Lil Cozette","Cairo Prince","04/20/2017","pregnant","Broodmare","Douglas Arnold, Agent",35000
1,0014,"Taylor Made Sales Agency, Agent XLIX","","Downside Scenario","02/19/2013","B",Mare,"Scat Daddy","Grand Breeze","Into Mischief","03/06/2017","pregnant","Broodmare","Black Ridge Stables",250000
1,0015,"Bedouin Bloodstock, Agent II","","Paynter --- Downtown Drifter","03/22/2017","B",Filly,"Paynter","Downtown Drifter","","","","Yearling","*RNA (3,500)",---
1,0016,"Taylor Made Sales Agency, Agent LXV","","Dreamarcher","03/10/2013","DB/BR",Mare,"Archarcharch","Dream Luck","","","","Racing or Broodmare Prospect","Out",0
1,0017,"Denali Stud (Craig & Holly Bandoroff), Agent I","","Dream Empress","03/22/2006","B",Mare,"Bernstein","Chinese Empress","Candy Ride (ARG)","05/30/2017","pregnant","Broodmare","Big Red Farm",170000
1,0018,"VanMeter-Gentry Sales, Agent","","Malibu Moon --- Dream Street","04/25/2017","B",Colt,"Malibu Moon","Dream Street","","","","Yearling","Harper Thoroughbreds",130000
1,0019,"Scott Mallory, Agent II","","Gemologist --- Dressed to Kill","04/09/2017","DB/BR",Colt,"Gemologist","Dressed to Kill","","","","Yearling","*RNA (12,000)",---
1,0020,"War Horse Place LLC, Agent VI","","Driven","04/09/2005","GR/RO",Mare,"Forestry","Long Drive Home","Distorted Humor","03/19/2017","pregnant","Broodmare","Shalom TR",45000
1,0021,"Taylor Made Sales Agency, Agent LX","","Elbe (GB)","01/30/2009","B",Mare,"Dansili (GB)","Imroz","Vancouver (AUS)","05/20/2017","pregnant","Broodmare","Out",0
1,0022,"Vinery Sales, Agent XVI","","Strong Mandate --- Elliday","03/09/2017","CH",Filly,"Strong Mandate","Elliday","","","","Yearling","*RNA (14,000)",---
1,0023,"Bill Murphy, Agent V","","Wicked Strong --- El Rebecca","02/25/2017","DB/BR",Colt,"Wicked Strong","El Rebecca","","","","Yearling","*RNA (12,000)",---
1,0024,"Bluewater Sales LLC, Agent IV","","Elusive Million (IRE)","02/01/2013","B",Filly,"Pour Moi (IRE)","Million Spirits (IRE)","","","","Racing or Broodmare Prospect","Recapture, LLC",27000
