Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
1,0001,"Taylor Made Sales Agency, Agent CXLVI","","Weekend Whim","01/30/2006","CH",Mare,"Distorted Humor","Weekend in Indy","Medaglia d'Oro","05/14/2017","pregnant","Broodmare","Summer Wind Equine",1400000
1,0002,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent for","R. S. Evans","Tonalist --- West Coast Swing","04/13/2017","B",Colt,"Tonalist","West Coast Swing","","","","Weanling","Out",0
1,0003,"Taylor Made Sales Agency, Agent CLXV","","Adorable and Smart","04/20/2004","B",Mare,"Gulch","Adoryphar","Into Mischief","08/10/2017","pregnant","Broodmare","*RNA (45,000)",---
1,0004,"Pope McLean (Crestwood Farm), Agent I","","American Pharoah --- Air France","04/27/2017","B",Colt,"American Pharoah","Air France","","","","Weanling","Out",0
1,0005,"Taylor Made Sales Agency, Agent CXXXVII","","Alpine Sky","03/20/2012","DB/BR",Mare,"Indian Charlie","Alpine Garden","","","","Racing or Broodmare Prospect","Walt Borisenok/Old Tavern Farm",175000
1,0006,"Hunter Valley Farm, Agent","","Amansara","04/10/2003","B",Mare,"War Chant","Marianna's Girl","Bernardini","03/30/2017","pregnant","Broodmare","Out",0
1,0007,"Hunter Valley Farm, Agent","","Invincible Spirit (IRE) --- Ana Luna (GB)","04/08/2017","B",Colt,"Invincible Spirit (IRE)","Ana Luna (GB)","","","","Weanling","High Valley Equine Ltd.",125000
1,0008,"Stonereath Stud, Agent for Anderson Farms","","Medaglia d'Oro --- Androeah","04/05/2017","B",Colt,"Medaglia d'Oro","Androeah","","","","Weanling","Blue Sky Stables",350000
1,0009,"Ramsey Farm, Agent","","Anura (IRE)","03/23/2002","DB/BR",Mare,"Giant's Causeway","Shastri","Kitten's Joy","05/02/2017","pregnant","Broodmare","SF Bloodstock",80000
1,0010,"Adena Springs","","Ariege","03/27/2005","DB/BR",Mare,"Doneraile Court","Kostroma (IRE)","Street Boss","05/16/2017","pregnant","Broodmare","*RNA (100,000)",---
1,0011,"Taylor Made Sales Agency, Agent LXVI","","Auntjenn","05/01/2014","DB/BR",Filly,"Uncle Mo","World Event","","","","Racing or Broodmare Prospect","*RNA (220,000)",---
1,0012,"Woods Edge Farm, Agent II","","Banree","04/01/2013","GR/RO",Mare,"Macho Uno","Grand Glory","","","","Broodmare Prospect","Out",0
1,0013,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent IX","","Speightstown --- Bashful Bertie","02/11/2017","B",Filly,"Speightstown","Bashful Bertie","","","","Weanling","*RNA (335,000)",---
1,0014,"Pope McLean (Crestwood Farm), Agent XVI","","Bayou Tortuga","02/20/2008","B",Mare,"Empire Maker","Tortuga Band","Orb","04/26/2017","pregnant","Broodmare","*RNA (675,000)",---
1,0015,"Pope McLean (Crestwood Farm), Agent XVI","","Super Saver --- Bayou Tortuga","04/02/2017","B",Filly,"Super Saver","Bayou Tortuga","","","","Weanling","*RNA (220,000)",---
1,0016,"Taylor Made Sales Agency, Agent XI","","Uncle Mo --- Beau Dare","04/10/2017","B",Filly,"Uncle Mo","Beau Dare","","","","Weanling","Out",0
