,,,FIRST START BACK,,,,,,
YEAR,DIVISION,HORSE,CLS,ODDS,FAV,FIN,NOTE,,RACING CLASS KEY:
2005,2YO Male,Stevie Wonderboy,GRD,0.60,Y,2,,,
2006,2YO Male,Street Sense,GRD,1.20,N,1,,,
2007,2YO Male,War Pass,ALW,0.05,Y,1,,,
2008,2YO Male,Midshipman,AOC,1.85,N,1,,,
2009,2YO Male,Lookin at Lucky,GRD,1.10,Y,1,,,
2010,2YO Male,Uncle Mo,STK,0.05,Y,1,,,
2011,2YO Male,Hansen,GRD,0.90,Y,2,,,
2012,2YO Male,Shanghai Bobby,GRD,1.00,Y,1,,,
2013,2YO Male,Shared Belief,ALW,0.20,Y,1,,,
2014,2YO Male,American Pharoah,GRD,0.40,Y,1,,,
2015,2YO Male,Nyquist,GRD,0.40,Y,1,,,
2016,2YO Male,Classic Empire,GRD,0.50,Y,3,,,
2017,2YO Male,Good Magic,GRD,0.70,Y,3,,,
1971,3YO Filly,Turkish Trousers,STK,0.90,Y,2,,,
1972,3YO Filly,Susan's Girl,GRD,1.10,Y,5,,,
1973,3YO Filly,Desert Vixen,GRD,1.40,Y,12,,,
1974,3YO Filly,Chris Evert,STK,1.30,Y,1,,,
1975,3YO Filly,Ruffian,DEC,,,,,,
1976,3YO Filly,Revidere,ALW,0.60,Y,2,,,
1977,3YO Filly,Our Mims,ALW,0.30,Y,1,,,
1978,3YO Filly,Tempest Queen,ALW,0.60,Y,6,,,
1979,3YO Filly,Davona Dale,ALW,0.70,Y,3,,,
1980,3YO Filly,Genuine Risk,ALW,0.10,Y,1,,,
1981,3YO Filly,Wayward Lass,RET,,,,,,
1982,3YO Filly,Christmas Past,ALW,0.30,Y,1,,,
1983,3YO Filly,Heartlight No. One,RET,,,,,,
1984,3YO Filly,Life's Magic,GRD,2.00,N,3,,,
1985,3YO Filly,Mom's Command,RET,,,,,,
1986,3YO Filly,Tiffany Lass,STK,1.10,Y,1,,,
1987,3YO Filly,Sacahuista,GRD,3.00,N,5,,,
1988,3YO Filly,Winning Colors,GRD,0.40,Y,4,,,
1989,3YO Filly,Open Mind,GRD,2.80,N,5,,,
1990,3YO Filly,Go For Wand,DEC,,,,,,
1991,3YO Filly,Dance Smartly,STK,0.40,Y,2,,,
1992,3YO Filly,Saratoga Dew,RET,,,,,,
1993,3YO Filly,Hollywood Wildcat,GRD,0.50,Y,3,,,
1994,3YO Filly,Heavenly Prize,STK,0.20,Y,2,,,
1995,3YO Filly,Serena's Song,GRD,1.10,Y,1,,,
1996,3YO Filly,Yanks Music,RET,,,,,,
1997,3YO Filly,Ajina,STK,0.40,Y,8,,,
1998,3YO Filly,Banshee Breeze,GRD,0.60,Y,1,,,
1999,3YO Filly,Silverbulletday,STK,0.30,Y,1,,,
2000,3YO Filly,Surfside,GRD,0.60,Y,3,,,
2001,3YO Filly,Xtra Heat,STK,0.35,Y,1,,,
2002,3YO Filly,Farda Amiga,RET,,,,,,
2003,3YO Filly,Bird Town,RET,,,,,,
2004,3YO Filly,Ashado,GRD,0.50,Y,5,,,
2005,3YO Filly,Smuggler,GRD,1.15,Y,5,,,
2006,3YO Filly,Wait a While,GRD,0.40,Y,1,,,
