Year,Winner,Sire,Dam,2nd Pl,3rd Pl,Time
1954,Hasty Road,Roman,Traffic Court,Correlation,Hasseyampa,01:57.4
1953,Native Dancer,Polynesian,Geisha,Jamie K,Royal Bay Gem,01:57.8
1952,Blue Man,Blue Swords,Poppycock,Jampol,One Count,01:57.4
1951,Bold,By Jimminy,Little Rebel,Counterpoint,Alerted,01:56.4
1950,Hill Prince,Princequillo,Hildene,Middleground,Dooly,01:59.2
1949,Capot,Menow,Piquet,Palestinian,Noble Impulse,01:56.0
1948,Citation,Bull Lea,Hydroplane,Vulcans Forge,Bovard,02:02.4
1947,Faultless,Bull Lea,Unerring,On Trust,Phalanx,01:59.0
1946,Assault,Bold Venture,Igual,Lord Boswell,Hampden,02:01.2
1945,Polynesian,Unbreakable,Black Polly,Hoop Jr,Darby Dieppe,01:58.8
1944,Pensive,Hyperion,Penicuik,Platter,Stir Up,01:59.2
1943,Count Fleet,Reigh Count,Quickly,Blue Swords,Vincentive,01:57.4
1942,Alsab,Good Goods,Winds Chant,Requested,Sun Again,01:57.0
1941,Whirlaway,Blenheim,Dustwhirl,King Cole,Our Boots,01:58.8
1940,Bimelech,Black Toney,La Troienne,Mioland,Gallahadion,01:58.6
1939,Challedon,Challenger,Laura Gal,Gilded Knight,Volitant,01:59.8
1938,Dauber,Pennant,Ship Of War,Cravat,Menow,01:59.8
1937,War Admiral,Man O War,Brushup,Pompoon,Flying Scot,01:58.4
1936,Bold Venture,St Germans,Possible,Granville,Jean Bart,01:59.0
1935,Omaha,Gallant Fox,Flambino,Firethorn,Psychic Bid,01:58.4
1934,High Quest,Sir Gallahad,Etoile Filante,Cavalcade,Discovery,01:58.2
1933,Head Play,My Play,Red Head,Ladysman,Utopian,02:02.0
1932,Burgoo King,Bubbling Over,Minawand,Tick On,Boatswain,01:59.8
1931,Mate,Prince Pal,Killashandra,Twenty Grand,Ladder,01:59.0
1930,Gallant Fox,Sir Gallahad,Marguerite,Crack Brigade,Snowflake,02:00.6
1929,Dr. Freeland,Light Brigade,Toddle,Minotaur,African,02:01.6
1928,Victorian,Whisk Broom,Prudery,Toro,Solace,02:00.2
1927,Bostonian,Broomstick,Yankee Maid,Sir Harry,Whiskery,02:01.6
1926,Display,Fair Play,Cicuta,Blondin,Mars,01:59.8
1925,Coventry,Negofol,Sun Queen,Backbone,Almadel,01:59.0
1924,Nellie Morse,Luke Mcluke,La Venganza,Transmute,Mad Play,01:57.2
1923,Vigil,Jim Gaffney,Vignola,General Thatcher,Rialto,01:53.6
1922,Pillory,Olambala,Hester Prynne,Hea,June Grass,01:51.6
1921,Broomspun,Broomstick,Spun Glass,Polly Ann,Jeg,01:54.2
1920,Man o' War,Fair Play,Mahubah,Upset,Wildair,01:51.6
1919,Sir Barton,Star Shoot,Lady Sterling,Eternal,Sweep On,01:53.0
1918,War Cloud,Polymelus,Dreamy,Sunny Slope,Lanius,01:53.6
1918,"Jack Hare, Jr.",Marathon,Moonet,The Porter,Kate Bright,01:53.4
1917,Kalitan,Rey Hindoo,Dally,Liberty Loan,Kentucky Boy,01:54.4
1916,Damrosch,Rock Sand,Dissembler,Greenwood,Achievement,01:54.8
1915,Rhine Maiden,Watercress,Gold,Half Rock,Runes,01:58.0
1914,Holiday,Broomstick,Leisure,Brave Cunarder,Defendum,01:53.8
1913,Buskin,Hamburg,Slippers,Kleburne,Barnegat,01:53.4
1912,Colonel Holloway,Ethelbert,Sweet Hawthorne,Bwana Tumbo,Tipsand,01:56.6
1911,Watervale,Watercress,Lady Violet,Zeus,The Nigger,01:51.0
1910,Layminster,Matchless,Northminster,Dalhousie,Sager,01:40.6
1909,Effendi,Previous,Hatasoo,Fashion Plate,Hill Top,01:39.8
