HORSE,SIRE,DAM,DAMSIRE,LOC,TRAINER,OWNER,BREEDER
Black Ops,Hard Spun,Rendition,A.P. Indy,KY,Rodney Richards,Richard Keith,"G. Watts Humphrey Jr., Susie Keller, Olver & G. Watts Humphrey III"
Blue Creek (GB),Street Cry (IRE),Blue Bunting,Dynaformer,GB,Charles Appleby,Godolphin Racing LLC,Darley
Boalt Hall,Scat Daddy,Motion to Compel,Yonaguska,KY,Todd Pletcher,Stonestreet Stables LLC,Bend Or Thoroughbreds USA
Bodestar,Exchange Rate,Red Piano,Red Ransom,KY,Michael Tomlinson,Suzanne Stables,Suzanne Stables 
Bombard,War Front,Witty,Distorted Humor,KY,Richard Mandella,Raydelz Stable,Raydelz Stable
Bombs Away,Smart Strike,Protesting,A.P. Indy,KY,Claude McGaughey III,Phipps Stable,Phipps Stable
Brody's Cause,Giant's Causeway,Sweet Breanna,Sahm,KY,Dale Romans,Albaugh Family Stable,"Gabriel Duignan, William Arvin Jr. & Petaluma Bloodstock"
Butler Field,Malibu Moon,Wasted Tears,Najran,KY,Chad Brown,Woodford Racing LLC,Bart Evans & Stonehaven Steadings 
Cadeyrn,Malibu Moon,Dream Street,Tale of the Cat,KY,Jeremiah Englehart,Tom O'Grady,"T. F. VanMeter, Gaines-Gentry Throughbreds & Fox Strauss"
Can't Remember,Misremembered,Stormy Kristine,Storm Creek,KY,Bob Baffert,Gary Broad,Richard J. Forbush & The Misremembered Syndicate
Candy My Boy,Candy Ride (ARG),Runaway Rosie,Include,KY,Roger Brueggemann,Frank Mancari,Craig B. Singer
Cape Nelo,Cape Blanco (IRE),Misinjennuous,Tapit,KY,Michael Curtis,John Bochis,Rino Ungaro
Cards of Stone,Bustin Stones,Shuffle the Deck,High Yield,NY,Todd Pletcher,"Highclere America, McConnell Racing Stable, Wachtel Stable, and Bilinski, D.",Roddy Valente & Thomas Lemme
Caribbean,Harlan's Holiday,Soloing,Runaway Groom,KY,Todd Pletcher,"Eclipse Thoroughbred Partners and Barber, Gary",Mill Ridge Farm LTD & NATO
Casigordo,Arch,Leonor Fini (IRE),Peintre Celebre,NY,Roderick Rodgriguez,J. Stables (Guerrero),Gallaghers Stud
Catapult,Kitten's Joy,Gata Bella,Storm Cat,KY,Chad Brown,"Woodford Racing, LLC",Breffni Farm
Charmed Victory,Flatter,American Victory,Victory Gallop,MD,Rodney Jenkins,"Hillwood Stable LLC and Golden, Richard L.",Sycamore Hall Thoroughbreds LLC
