Date,#Track,,Dist,Run,Temp Rail,,Type/Value/Clm,Splits,,,Points Of Call,,,,,,Jockey,W,,,      First Three Finishers,Comments,Earned (USA $)
,,,,Up,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
100411,3PEN,ft,1 1/16m,45 ,,,AOC 34k,4775,0.910416667,3.030555556, 1,2,51_,52_,34_,22_,VazE,119,L ,* 2.40,"  104 MineTrin2_,IndianJonesnk,Valerius6  ","late bid, 2nd best ","$6,800 "
92011,9PRX,ft,1 1/16m,48 ,,,ALW 63.9k,4891,0.947916667,3.208333333, 3,2,41_,42_,32_,3hd,VazE,119,L ,2.5,"  105 ImSreno,AndrewLhd,IndinJones4_  ","wide, closed well ","$5,280 "
73111,5PRX,ft,1m,40 ,,,ALW 46.5k,4822,0.921527778,2.61875, 3,4,54_,31,11_,15,VazE,117,L ,* 0.80,"   95 IndianJones5,Notoriety11_,GreekGold6  ","3p,up lane,driving ","$28,200 "
71911,4PEN,fm,1m,45 ,T,14,ALW 33.2k,4610,0.719444444,2.432638889, 12,12,119_,109_,86_,54_,VazE,119,L ,4.2,"   82 SuprDoc_,CaptnJefnk,GretHarbor2_  ",closed ground late ,$960 
62811,4PEN,fm,1 1/16m,45 ,T,21,ALW 32k,4669,0.788888889,3.006944444, 7,5,69_,76_,4nk,3nk,VazE,119,L ,* 2.90,"   90 WildnWileyno,SilvrTeAfarnk,IndianJones3_  ",just missed ,"$3,520 "
62011,8PRX,fm,1 1/8m,30 ,T,15,ALW 50.0k,4846,0.913888889,3.584722222, 1,8,710,99_,56_,53_,VazE,118,L ,2.7,"   89 Reprise_,Wikihd,ThrePieceBn2_  ",pass faders inside ,"$1,410 "
50911,7PRX,ft,8.32f,40 ,,,ALW 49.6k,4679,0.800694444,2.889583333, 7,5,55,67_,67_,68_,VazE,119,L ,5.1,"   92 HighOnCandy4_,ElLegado_,ImSure_  ","three wide, faltered ",$200 
41211,9PRX,my,1m,40 ,,,ALW 47k,5086,1.05625,2.827083333, 4,3,35,35,36,22_,VazE,118,L ,4.8,"   91 RokYard2_,IndinJones2,GraneGayegono  ",finished good energy ,"$9,400 "
11611,3SA,fm,1m,107 ,T,0,CLM45.8k/50k,4909,0.971527778,2.576388889, 6,7,73_,74,54,33_,EspinozaV,121,BL ,7.8,"   91 StefnsGotHope1_,CalifrniaSoldr2_,IndinJones1_  ","4wd into lane,up 3rd ","$5,400 "
121710,6HOL,fm,1m,64 ,T,0,MSW 38.8k,4841,0.901388889,2.581944444, 3,4,63_,52_,32_,1nk,EspinozaV,121,BL ,2.9,"   92 IndinJonesnk,Uzziahhd,JazzmansDance6_  ","came out 1/16,up btwn ","$22,800 "
111310,3HOL,ft,6_f,65 ,,,MSW 39.0k,2337,4713,1.200694444, 2,4,32,31_,32,32_,ValenzuelaPA,122,BL ,11.3,"   89 VictryWithHonor1_,Temp_,IndinJones_  ","came out str,missed 2d ","$4,560 "
50110,8HOL,ft,6_f,65 ,,,MSW 45.2k,2248,4552,1.174305556, 4,11,118_,108_,97_,77_,JohnK,117,LB ,34.3,"   76 Drive3_,PremrCru1_,FulEfectnk  ","steadied start,no bid ",$400 
32010,7SA,ft,6_f,78 ,,,MSW 46k,2161,4422,1.089583333, 10,4,10---,10---,10---,DNF,RosarioJ,121,BL ,5,"       GoldenItiz2,Apriority_,Lichtenstein_  ","pulled up, vanned off ",$400 
21510,3SA,ft,5_f,66 ,,,MSW 44.4k,2219,4503,0.28125, 3,4,47,58,54_,42_,RosarioJ,121,LB ,2.4,"   84 LoksleyHal1_,Lichtnsten1,CoastalSmartyno  ","angled in1/8,missed 3d ","$2,640 "
