Horse,Trainer,Owner(s)
Shelley Ann,James A. Jerkens,"Birsh, Philip S. and Levine, Philip James"
Slewgoodtobetrue,Peter Eurton,"Sharon Alesia, Ciaglia Racing, LLC, ERJ Racing, LLC and Burns Racing, LLC P"
Soothing,"Robert B. Hess, Jr.",ITA Thoroughbreds Robert
Speedette,J. Keith Desormeaux,Calumet Farm 
Spring Forth,Todd A. Pletcher,Treadway Racing Stable Todd
Street Band,J. Larry Jones,J. Larry and Cindy Jones and Ray Francis J.
Stroll With Becca,Kenneth G. McPeek,Magdalena Racing Kenneth
Sugar Love,"George R. Arnold, II","G. Watts Humphrey, Jr. George"
Sundaysatthebeach,Brendan P. Walsh,Aline Gigliola Da Silva Brenda
Sunset Wish,Michael Stidham,"Godolphin, LLC Micha"
Suprema,J. Keith Desormeaux,Brad Allshouse 
Sweet Diane,Michael Stidham,Stallionaire Enterprises LLC
Sweet Gisel,D. Wayne Lukas,"Mike Anderson Racing, LLC D. W"
Take Charge Angel,Ben Colebrook,"Sheffer Racing, LLC Ben"
Tasting The Stars,Michael Stidham,Newtown Anner Stud Micha
Triumphant,Mark A. Hennig,Courtlandt Farms Mar
Ujjayi,Erin C. McClellan,T. L. Wise Erin C
Ulele,Brad H. Cox,"Cheyenne Stables, LLC B"
Ultimate Mo,D. Wayne Lukas,"Mathis Stable, LLC D. W"
Vibrance,Michael W. McCarthy,"Eclipse Thoroughbred Partners, Donna Daniell and Jim Daniell "
Violencia,Rodolphe Brisset,"Rick Howard, Kent Donworth and Rags Racing Stable, LLC Rodol"
Web O' Gold,Kenneth G. McPeek,"Three Chimneys Farm, LLC and Fern Circle Stables Kenneth"
