Horse,Color / Sex / Age,Trainer,Owner
TAKE THE ONE O ONE,dk b/.c.3,Brian J. Koriner,Jay Em Ess Stable 
TALE OF FIRE,b.c.3,Doug Watson,Charles E. Fipke
TALENT SCOUT,b.c.3,Bob Baffert,Gary and Mary West
TALON,dk b/.c.3,Arnaud Delacour,"WinStar Farm, LLC , China Horse Club International, Ltd. and SF Racing"
TAP RAP STRIKE,ch.c.3,John C. Servis,D. J. Stable LLC and Cash is King LLC
TAPITOR,b.c.3,Helen Pitts-Blasi,Mary K. Grum
TATTOOED,dk b/.g.3,Timothy L. Keefe,"Kenneth C. Holt, Theodore R. Montuori and Palumbo Racing Stable"
TELEKINESIS,b.c.3,Mark E. Casse,"Stonestreet Stables, LLC"
TENFOLD,dk b/.c.3,Steven M. Asmussen,"Winchell Thoroughbreds, LLC"
THE GREEN MO'STER,b.c.3,Dale L. Romans,Crossed Sabres Farm
THE MONEY DANCE,ch.c.3,Michael E. Lauer,Penny S. Lauer
THERE AND BACK,dk b/.c.3,Bob Baffert,Double Diamond Farm
THOUSANDYARDSTARE,b.c.3,Horacio DePaz,Sagamore Farm
THREE WEEKS,gr/ro.c.3,William J. Haggas,Apple Tree Stud
THREEANDFOURPENCE,b.c.3,Aidan P. O'Brien,Evelyn M. Stockwell
TIMES SQUARE,gr/ro.c.3,Todd A. Pletcher,Calumet Farm
TIP SHEET,dk b/.c.3,Stanley I. Gold,Arindel
TITLE READY,dk b/.c.3,Steven M. Asmussen,Charles E. Fipke
TIZ MISCHIEF,b.c.3,Dale L. Romans,"Frank L. Jones, Jr."
TIZ OUR TURN,dk b/.c.3,"Walter M. Binder, Jr.",High Pointe Racing V
TOUGH TIMES,ch.c.3,Mark A. Hennig,Courtlandt Farms
TRADECRAFT,ch.c.3,Nancy Summers,Kenneth Corazza
TRANSGRESS,b.c.3,D. Wayne Lukas,Robert C. Baker and William L. Mack
TRES EQUIS,b.c.3,Michael J. Maker,"Skychai Racing, LLC and Sand Dollar Stable, LLC"
TRICKS TO DOO,b.c.3,Arnaud Delacour,Lael Stables
TROOPER,b.c.3,Miguel L. Hernandez,Judge Lanier Racing
U S NAVY FLAG,dk b/.c.3,Aidan P. O'Brien,"Mr. Michael Tabor, Mr. Derrick Smith and Mrs. John Magnier"
UNION RANKS,b.c.3,James A. Jerkens,Centennial Farms
UNTAMED DOMAIN,b.c.3,H. Graham Motion,"West Point Thoroughbreds, LLC"
V. I. P. CODE,ch.c.3,Phil Schoenthal,"Everest Stables, Inc."
VERVE'S HUMOR,ch.c.3,Barclay Tagg,Charles E. Fipke
VICTORY LANE,b.c.3,"Claude R. McGaughey, III",Lane's End Racing 
VINO ROSSO,ch.c.3,Todd A. Pletcher,Repole Stable and St. Elias Stable
VIOLENT STORM,ch.g.3,Brendan P. Walsh,New Direction Racing
VOUCH,dk b/.c.3,Arnaud Delacour,Lael Stables and Three Chimneys Farm
WALK IN THE SUN,b.c.3,Jeremy Noseda,"Phoenix Thoroughbred, LTD"
WATSCHEN,ch.c.3,Patrick L. Biancone,Amy E. Dunne and D P Racing LLC
WESTERDALE,dk b/.r.3,Thomas Morley,"T. Morley, M. Lyden, J. Zaro, P. Braverman and Imaginary Stables"
WHERESHETOLDMETOGO,ch.c.3,Anthony Pecoraro,"Black Cloud Stable, LLC"
WILD POPIT,ch.c.3,Randy L. Morse,"DD Stables, LLC"
WISDOM AN WAR,dk b/.c.3,Ron Moquett,JoAnn and Alex Lieblong
WISELY,dk b/.c.3,Mark A. Hennig,Lee Lewis
WONDER GADOT,dk b/.f.3,Mark E. Casse,Gary Barber
WORK AND LOVE (JPN),ch.c.3,Hidetaka Tadokoro,Sachiaki Kobayashi
WORLD OF TROUBLE,b.c.3,Jason Servis,"Michael Dubb, et al."
WYATT'S TOWN,b.c.3,Steven M. Asmussen,"Winchell Thoroughbreds, LLC and Willis Horton Racing, LLC"
YEAR OF THE KITTEN,dk b/.c.3,Michael J. Maker,Kenneth L. and Sarah K. Ramsey
YEEHAW,ch.c.3,Patrick L. Biancone,Gus King
ZATTER,b.c.3,Bob Baffert,"Zayat Stables, LLC"
ZING ZANG,gr/ro.c.3,Steven M. Asmussen,Jackpot Farm
ZULFIKHAR,b.c.3,Bob Baffert,Sheikh Mohammed bin Khalifa al Maktoum
