Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
1,0001,"Darby Dan Farm, Agent V","","Janis's Joy","04/02/2009","B",Mare,"Broken Vow","Ever Elusive","Super Saver","06/05/2016","pregnant","Broodmare","Out",0
1,0002,"Pope McLean (Crestwood Farm), Agent IV","","Majesticperfection --- Jazzy Melissa","05/11/2016","B",Filly,"Majesticperfection","Jazzy Melissa","","","","Yearling","Out",0
1,0003,"VanMeter-Gentry Sales, Agent II","","Curlin --- Jeanerette","03/06/2016","B",Colt,"Curlin","Jeanerette","","","","Yearling","Calumet Farm",65000
1,0004,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent I","","Jerry Love","01/25/2011","B",Mare,"Not For Love","Jerry Bomb","Tonalist","03/26/2016","pregnant","Broodmare","Out",0
1,0005,"Vinery Sales, Agent XXI","","Jr the Creeps","04/18/2011","B",Mare,"Corinthian","Look for Good","Shanghai Bobby","04/01/2016","pregnant","Broodmare","Out",0
1,0006,"Bedouin Bloodstock, Agent III","","Gemologist --- Kaili","04/11/2016","B",Colt,"Gemologist","Kaili","","","","Yearling","*RNA (32,000)",---
1,0007,"South Point Sales Agency, Agent VI","","Karen's Silk","04/08/2013","B",Filly,"High Cotton","Stay On Track","","","","Racing or Broodmare Prospect","Not This Time / A. F .S.",72000
1,0008,"Woodford Thoroughbreds, Agent","","Congrats --- Kay Ellen","03/21/2016","B",Filly,"Congrats","Kay Ellen","","","","Yearling","Summerfield Sales, Agent",25000
1,0009,"Hill 'n' Dale Sales Agency, Agent","","Kentuckiana","01/29/2011","DB/BR",Mare,"Stormy Atlantic","Ring Seeker","","","","Broodmare Prospect","Mike Abraham",5000
1,0010,"Bluewater Sales LLC, Agent XX","","Scat Daddy --- Kimallosa","02/09/2016","DB/BR",Filly,"Scat Daddy","Kimallosa","","","","Yearling","Out",0
1,0011,"Allied Bloodstock, Agent I","","Krista's Quik Chic","04/25/2006","DB/BR",Mare,"Forestry","Geisha Girl (GB)","Summer Front","05/27/2016","pregnant","Broodmare","Out",0
1,0012,"Hartwell Farm","","Street Hero --- Kristy Beethoven","05/03/2014","B",Filly,"Street Hero","Kristy Beethoven","","","","Broodmare Prospect","*RNA (5,000)",---
1,0013,"Denali Stud (Craig & Holly Bandoroff), Agent II","","La Belle Epoque","02/23/2010","B",Mare,"Tapit","Catlike Dancer","Summer Front","05/03/2016","pregnant","Broodmare","Calumet Farm",50000
1,0014,"Legacy Bloodstock, Agent IX","","La Chica Sensual","04/09/2006","GR/RO",Mare,"Lightnin N Thunder","Lerma","More Than Ready","05/31/2016","pregnant","Broodmare","Out",0
