Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
1,0001,"Taylor Made Sales Agency, Agent XLVIII","","Medaglia d'Oro --- Eileen's Dream","","B",Filly,"Medaglia d'Oro","Eileen's Dream","","","","","Out",0
1,0002,"Hill 'n' Dale Sales Agency, Agent","","Australia (GB) --- Emerald Gold","","CH",Filly,"Australia (GB)","Emerald Gold","","","","","Out",0
1,0003,"Lane's End, Agent","","Medaglia d'Oro --- Emma's Encore","","B",Filly,"Medaglia d'Oro","Emma's Encore","","","","","*RNA (400,000)",---
1,0004,"Lane's End, Agent","","Hard Spun --- Enthused","","B",Colt,"Hard Spun","Enthused","","","","","Merites Stable",150000
1,0005,"Pope McLean (Crestwood Farm), Agent V","","Bernardini --- Every Cloud","","DB/BR",Colt,"Bernardini","Every Cloud","","","","","*RNA (110,000)",---
1,0006,"Brookdale Sales, Agent for Audley Farm Equine LLC","","Invincible Spirit --- Fairytale Ending (IRE)","","B",Colt,"Invincible Spirit","Fairytale Ending (IRE)","","","","","Polo Green Stable, Inc.",240000
1,0007,"Taylor Made Sales Agency, Agent XLII","","Union Rags --- Favoritism","","B",Colt,"Union Rags","Favoritism","","","","","L&N Racing, LLC",130000
1,0008,"Denali Stud (Craig & Holly Bandoroff), Agent LVI","","Tapit --- Flaming Heart","","GR/RO",Colt,"Tapit","Flaming Heart","","","","","Out",0
1,0009,"Legacy Bloodstock, Agent for Mike G. Rutherford","","Pioneerof the Nile --- Flying Spur","","DB/BR",Filly,"Pioneerof the Nile","Flying Spur","","","","","Hugo Merry Bloodstock",575000
1,0010,"Man O War Farm, Agent for Reiko and Michael Baum","","Kitten's Joy --- Forever Beautiful","","B",Colt,"Kitten's Joy","Forever Beautiful","","","","","*RNA (70,000)",---
1,0011,"Taylor Made Sales Agency, Agent VIII","","Lemon Drop Kid --- Frozen Treat","","DB/BR",Colt,"Lemon Drop Kid","Frozen Treat","","","","","Vineyard Ventures",250000
1,0012,"Hill 'n' Dale Sales Agency, Agent","","Pioneerof the Nile --- General Jeanne","","DB/BR",Filly,"Pioneerof the Nile","General Jeanne","","","","","Horse France",500000
1,0013,"Burleson Farms, Agent","","War Front --- Goin to the Window","","B",Filly,"War Front","Goin to the Window","","","","","*RNA (700,000)",---
1,0014,"Hunter Valley Farm, Agent","","Street Sense --- Golden Sheba","","B",Colt,"Street Sense","Golden Sheba","","","","","Spendthrift Farm LLC & Starlight Racing",700000
1,0015,"Gainesway, Agent VI","","Ghostzapper --- Gold Mover","","B",Colt,"Ghostzapper","Gold Mover","","","","","Fox Hill Farm",425000
1,0016,"Four Star Sales, Agent","","Declaration of War --- Good Vibes","","CH",Colt,"Declaration of War","Good Vibes","","","","","Margaret O'Toole Bloodstock",50000
1,0017,"Gainesway, Agent XXX","","War Front --- Grand Prayer","","B",Filly,"War Front","Grand Prayer","","","","","Out",0
1,0018,"Claiborne Farm, Agent","","War Front --- Haka","","B",Filly,"War Front","Haka","","","","","Ben Colebrook, Agent",300000
1,0019,"Bedouin Bloodstock, Agent VIII","","More Than Ready --- Heatherdoesntbluff","","DB/BR",Filly,"More Than Ready","Heatherdoesntbluff","","","","","Mike Ryan, Agent",350000
1,0020,"KatieRich Farms","","Tapit --- Her Smile","","B",Colt,"Tapit","Her Smile","","","","","Shadai Farm",750000
1,0021,"VanMeter-Gentry Sales, Agent XI","","Candy Ride (ARG) --- High On the Hill","","B",Colt,"Candy Ride (ARG)","High On the Hill","","","","","*RNA (150,000)",---
1,0022,"Gainesway, Agent VII","","War Front --- Hightap","","GR/RO",Colt,"War Front","Hightap","","","","","*RNA (225,000)",---
1,0023,"Hill 'n' Dale Sales Agency, Agent","","Giant's Causeway --- Hollywood Story","","DB/BR",Filly,"Giant's Causeway","Hollywood Story","","","","","Mayberry Farm",875000
